"N","Player id","Temporada","Fecha","Juego","Equipo","Posicion","Orden_bat","Jugador","AB","R","H","2B","3B","HR","RBI","BB","SO","LOB","AVE","Estadio","oponente","ronda"
51,,"2021-22","26/10/2021",3,"Cardenales de Lara","LF",,"Manuel Melendez ",1,0,0,0,0,0,1,0,0,0,0,"Estadio Universitario","Tiburones de la Guaira","regular"
52,,"2021-22","26/10/2021",3,"Cardenales de Lara","SS",9,"Jermaine Palacios ",4,3,4,1,0,0,0,0,0,0,0.818,"Estadio Universitario","Tiburones de la Guaira","regular"
53,"cedlor001","2021-22","26/10/2021",3,"Tiburones de la Guaira","CF",1,"Lorenzo Cedrola ",4,0,0,0,0,0,0,0,1,3,0.333,"Estadio Universitario","Cardenales de Lara","regular"
54,"sosjun001","2021-22","26/10/2021",3,"Tiburones de la Guaira","DH",2,"Junior Sosa ",3,0,1,0,0,0,0,0,1,0,0.222,"Estadio Universitario","Cardenales de Lara","regular"
55,"torjun001","2021-22","26/10/2021",3,"Tiburones de la Guaira","PH",2,"Juan Torres ",1,0,0,0,0,0,0,0,0,0,0,"Estadio Universitario","Cardenales de Lara","regular"
56,"vasdan001","2021-22","26/10/2021",3,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",2,0,0,0,0,0,0,1,2,1,0.222,"Estadio Universitario","Cardenales de Lara","regular"
57,"avilu001","2021-22","26/10/2021",3,"Tiburones de la Guaira","3B",4,"Luis Aviles Jr",4,0,0,0,0,0,0,0,0,3,0.214,"Estadio Universitario","Cardenales de Lara","regular"
58,"menhei001","2021-22","26/10/2021",3,"Tiburones de la Guaira","2B",5,"Heiker Meneses ",3,0,0,0,0,0,0,0,1,1,0,"Estadio Universitario","Cardenales de Lara","regular"
59,"marteo001","2021-22","26/10/2021",3,"Tiburones de la Guaira","LF",6,"Teodoro Martinez ",3,0,0,0,0,0,0,0,0,0,0.3,"Estadio Universitario","Cardenales de Lara","regular"
60,"duesam001","2021-22","26/10/2021",3,"Tiburones de la Guaira","1B",7,"Samir Dueñez ",3,0,0,0,0,0,0,0,1,0,0,"Estadio Universitario","Cardenales de Lara","regular"
61,"ferjua001","2021-22","26/10/2021",3,"Tiburones de la Guaira","C",8,"Juan Fernandez ",2,0,2,0,0,0,0,1,0,0,0.667,"Estadio Universitario","Cardenales de Lara","regular"
62,"rocbra001","2021-22","26/10/2021",3,"Tiburones de la Guaira","SS",9,"Brayan Rocchio ",3,0,1,0,0,0,0,0,0,2,0.333,"Estadio Universitario","Cardenales de Lara","regular"
63,"cedlor001","2021-22","28/10/2021",4,"Tiburones de la Guaira","LF-RF",1,"Lorenzo Cedrola ",5,0,0,0,0,0,1,0,0,5,0.214,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
64,"rocbra001","2021-22","28/10/2021",4,"Tiburones de la Guaira","SS",2,"Brayan Rocchio ",5,1,1,0,1,0,0,0,0,2,0.25,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
65,"vasdan001","2021-22","28/10/2021",4,"Tiburones de la Guaira","DH",3,"Danry Vasquez ",4,0,1,1,0,0,0,1,3,2,0.231,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
66,"maydan001","2021-22","28/10/2021",4,"Tiburones de la Guaira","1B",4,"Daniel Mayora ",4,0,2,0,0,0,1,1,0,0,0.308,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
67,"avilu001","2021-22","28/10/2021",4,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",5,0,1,1,0,0,0,0,2,5,0.211,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
68,"sosjun001","2021-22","28/10/2021",4,"Tiburones de la Guaira","CF",6,"Junior Sosa ",4,1,1,0,0,1,1,0,2,4,0.231,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
69,"menhei001","2021-22","28/10/2021",4,"Tiburones de la Guaira","2B",7,"Heiker Meneses ",4,0,0,0,0,0,0,0,3,2,0,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
70,"ferjua001","2021-22","28/10/2021",4,"Tiburones de la Guaira","C",8,"Juan Fernandez ",3,1,1,1,0,0,0,1,1,2,0.556,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
71,"lujjes001","2021-22","28/10/2021",4,"Tiburones de la Guaira","RF",9,"Jesus Lujano ",2,0,1,0,0,0,0,0,0,1,0.5,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
72,"marteo001","2021-22","28/10/2021",4,"Tiburones de la Guaira","PH-LF",9,"Teodoro Martinez ",2,0,1,0,0,0,0,0,0,1,0.333,"Estadio Jose Bernardo Perez","Navegantes del Magallanes","regular"
73,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","CF",1,"Cade Gotta ",3,1,1,0,0,0,0,1,2,0,0.222,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
74,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","3B",2,"Alberto Gonzalez ",4,0,1,0,0,0,0,0,0,1,0.333,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
75,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","1B",3,"Leonardo Reginatto ",4,0,0,0,0,0,0,0,3,2,0.333,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
76,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","RF",4,"Alejandro De Aza ",4,1,1,1,0,0,1,0,1,1,0.294,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
77,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","LF",5,"Moisés Gómez ",4,1,1,0,0,0,0,0,1,2,0.333,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
78,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","DH",6,"Alberth Martinez ",3,1,2,0,0,0,1,0,0,0,0.25,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
79,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","2B",7,"Gabriel Noriega ",3,0,2,1,0,0,0,0,1,2,0.6,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
80,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","C",8,"Arturo Nieto ",3,0,3,0,0,0,2,0,0,0,0.571,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
81,,"2021-22","28/10/2021",4,"Navegantes del Magallanes","SS",9,"Engelb Vielma ",3,0,0,0,0,0,0,0,0,3,0.214,"Estadio Jose Bernardo Perez","Tiburones de la Guaira","regular"
82,,"2021-22","29/10/2021",5,"Bravos de Margarita","2B",1,"Dilson Herrera ",6,3,4,2,0,0,2,0,2,0,0.435,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
83,,"2021-22","29/10/2021",5,"Bravos de Margarita","CF",2,"Ramón Flores ",6,2,3,0,0,0,2,0,1,3,0.5,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
84,,"2021-22","29/10/2021",5,"Bravos de Margarita","RF",3,"Diego Rincones ",3,1,0,0,0,0,1,0,0,2,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
85,,"2021-22","29/10/2021",5,"Bravos de Margarita","C-1B",4,"David Rodríguez ",3,1,1,0,0,0,1,2,0,1,0.35,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
86,,"2021-22","29/10/2021",5,"Bravos de Margarita","DH",5,"Dennis Ortega ",4,1,1,0,0,0,2,0,1,1,0.25,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
87,,"2021-22","29/10/2021",5,"Bravos de Margarita","PH-DH",,"Andres Regnault ",0,0,0,0,0,0,1,1,0,0,0.2,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
88,,"2021-22","29/10/2021",5,"Bravos de Margarita","LF",6,"Frank Diaz ",4,2,2,0,0,0,0,0,0,2,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
89,,"2021-22","29/10/2021",5,"Bravos de Margarita","PH-LF",,"Omar Carrizales ",1,0,0,0,0,0,0,0,0,3,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
90,,"2021-22","29/10/2021",5,"Bravos de Margarita","C",,"Jason Lopez ",0,0,0,0,0,0,0,0,0,0,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
91,,"2021-22","29/10/2021",5,"Bravos de Margarita","1B-LF",7,"Tomas Morales ",5,1,1,0,0,0,2,0,1,2,0.429,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
92,,"2021-22","29/10/2021",5,"Bravos de Margarita","SS",8,"Jose Martinez ",4,1,3,0,0,0,1,1,0,1,0.444,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
93,,"2021-22","29/10/2021",5,"Bravos de Margarita","3B",9,"Erick Salcedo ",2,0,0,0,0,0,0,0,0,1,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
94,,"2021-22","29/10/2021",5,"Bravos de Margarita","PH-3B",,"Luis Castro ",3,0,0,0,0,0,0,0,1,5,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
95,"sosjun001","2021-22","29/10/2021",5,"Tiburones de la Guaira","CF",1,"Junior Sosa ",4,2,2,0,0,2,2,0,1,2,0.294,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
96,"lujjes001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PH",1,"Jesus Lujano ",1,0,1,0,0,0,0,0,0,0,0.667,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
97,"marteo001","2021-22","29/10/2021",5,"Tiburones de la Guaira","LF",2,"Teodoro Martinez ",3,1,2,0,0,0,0,1,0,0,0.4,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
98,"ferjua001","2021-22","29/10/2021",5,"Tiburones de la Guaira","C",2,"Juan Fernandez ",1,0,1,0,0,0,0,0,0,0,0.6,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
99,"vasdan001","2021-22","29/10/2021",5,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",5,0,1,0,0,0,0,0,0,5,0.222,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
100,"maydan001","2021-22","29/10/2021",5,"Tiburones de la Guaira","1B-3B",4,"Daniel Mayora ",4,0,0,0,0,0,0,0,0,3,0.235,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
101,"duesam001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PH",4,"Samir Dueñez ",1,0,0,0,0,0,0,0,1,2,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
102,"avilu001","2021-22","29/10/2021",5,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",3,0,0,0,0,0,0,0,0,2,0.182,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
103,"torjun001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PH-1B",5,"Juan Torres ",1,0,0,0,0,0,0,0,1,0,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
104,"perjai001","2021-22","29/10/2021",5,"Tiburones de la Guaira","DH",6,"Jairo Perez ",3,0,1,0,0,0,0,1,0,1,0.273,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
105,"hercar004","2021-22","29/10/2021",5,"Tiburones de la Guaira","2B",7,"Carlos Herrera ",3,1,0,0,0,0,0,1,0,2,0.091,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
106,"genric001","2021-22","29/10/2021",5,"Tiburones de la Guaira","C",8,"Ricardo Genovés ",3,0,2,0,0,0,0,0,0,1,0.4,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
107,"cedlor001","2021-22","29/10/2021",5,"Tiburones de la Guaira","PR-LF",8,"Lorenzo Cedrola ",1,0,0,0,0,0,0,0,0,0,0.2,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
108,"rocbra001","2021-22","29/10/2021",5,"Tiburones de la Guaira","SS",9,"Brayan Rocchio ",3,1,2,1,0,1,2,0,0,2,0.364,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
109,,"2021-22","30/10/2021",6,"Bravos de Margarita","1B",1,"Dilson Herrera ",4,0,1,0,0,0,0,0,2,0,0.407,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
110,,"2021-22","30/10/2021",6,"Bravos de Margarita","CF",2,"Ramón Flores ",4,0,0,0,0,0,0,0,2,1,0.389,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
111,,"2021-22","30/10/2021",6,"Bravos de Margarita","RF",3,"Diego Rincones ",3,0,0,0,0,0,0,0,0,0,0.286,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
112,,"2021-22","30/10/2021",6,"Bravos de Margarita","DH",4,"David Rodríguez ",3,0,1,0,0,0,0,1,0,2,0.348,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
113,,"2021-22","30/10/2021",6,"Bravos de Margarita","C",5,"Dennis Ortega ",4,0,3,0,0,0,0,0,0,1,0.333,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
114,,"2021-22","30/10/2021",6,"Bravos de Margarita","PR",,"Erick Salcedo ",0,0,0,0,0,0,0,0,0,0,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
115,,"2021-22","30/10/2021",6,"Bravos de Margarita","3B",6,"Luis Castro ",2,0,0,0,0,0,0,0,1,3,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
116,,"2021-22","30/10/2021",6,"Bravos de Margarita","LF",7,"Omar Carrizales ",2,0,0,0,0,0,0,0,1,4,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
117,,"2021-22","30/10/2021",6,"Bravos de Margarita","PH-LF",,"Frank Diaz ",2,0,0,0,0,0,0,0,0,2,0.304,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
118,,"2021-22","30/10/2021",6,"Bravos de Margarita","SS",8,"Jose Martinez ",3,0,0,0,0,0,0,1,1,3,0.381,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
119,,"2021-22","30/10/2021",6,"Bravos de Margarita","2B",9,"Reinaldo Ilarraza ",4,0,0,0,0,0,0,0,3,2,0,"Estadio Forum de La Guaira","Tiburones de la Guaira","regular"
120,"sosjun001","2021-22","30/10/2021",6,"Tiburones de la Guaira","DH",1,"Junior Sosa ",2,1,1,0,0,0,0,1,0,0,0.316,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
121,"maydan001","2021-22","30/10/2021",6,"Tiburones de la Guaira","PH-DH",1,"Daniel Mayora ",0,0,0,0,0,0,0,1,0,0,0.235,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
122,"marteo001","2021-22","30/10/2021",6,"Tiburones de la Guaira","LF",2,"Teodoro Martinez ",3,0,0,0,0,0,0,0,1,2,0.333,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
123,"cedlor001","2021-22","30/10/2021",6,"Tiburones de la Guaira","LF",2,"Lorenzo Cedrola ",1,0,0,0,0,0,0,0,0,2,0.188,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
124,"vasdan001","2021-22","30/10/2021",6,"Tiburones de la Guaira","RF",3,"Danry Vasquez ",4,0,1,0,0,0,0,0,1,1,0.227,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
125,"torjun001","2021-22","30/10/2021",6,"Tiburones de la Guaira","1B",4,"Juan Torres ",3,0,0,0,0,0,0,0,0,3,0,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
126,"duesam001","2021-22","30/10/2021",6,"Tiburones de la Guaira","PH-1B",4,"Samir Dueñez ",1,0,1,1,0,0,0,0,0,0,0.167,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
127,"avilu001","2021-22","30/10/2021",6,"Tiburones de la Guaira","3B",5,"Luis Aviles Jr",4,0,2,1,0,0,1,0,0,1,0.231,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
128,"rocbra001","2021-22","30/10/2021",6,"Tiburones de la Guaira","SS",6,"Brayan Rocchio ",3,0,2,0,0,0,0,1,0,0,0.429,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
129,"ferjua001","2021-22","30/10/2021",6,"Tiburones de la Guaira","C",7,"Juan Fernandez ",4,0,0,0,0,0,0,0,1,4,0.429,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
130,"lujjes001","2021-22","30/10/2021",6,"Tiburones de la Guaira","CF",8,"Jesus Lujano ",2,0,2,0,1,0,0,1,0,0,0.8,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
131,"hercar004","2021-22","30/10/2021",6,"Tiburones de la Guaira","2B",9,"Carlos Herrera ",3,0,0,0,0,0,0,0,2,5,0.071,"Estadio Forum de La Guaira","Bravos de Margarita","regular"
132,,"2021-22","31/10/2021",7,"Aguilas del Zulia","LF-3B",1,"Ali Castillo ",5,1,4,1,0,0,1,0,0,0,0.351,"Estadio Universitario","Tiburones de la Guaira","regular"
133,,"2021-22","31/10/2021",7,"Aguilas del Zulia","2B",2,"Osleivis Basabe ",5,0,1,0,0,0,1,0,0,5,0.345,"Estadio Universitario","Tiburones de la Guaira","regular"
